an,"冠詞,一個,一種"
as,"同樣地,像,一樣,按照,當,的時候,由於,鑒於,以至於,雖然"
at,"在,在,時,在,中,在,方面,針對著,以,從事於,因為,由於"
be,"動詞,是,要,有,在,助動詞,正在,被"
by,"靠,用,通過,乘坐,到,到,時為止,在,之前,由,被,受到,靠近,接近"
do,"動詞,做,助動詞,構成否定句,疑問句,或強調句"
go,"去,走,達到,運轉,訴諸,查閱,消失,結束,放棄,花費,成為,處於,流傳,趨於"
if,"如果,是否,假設,即使條件命令測試並確定某特定條件真偽"
in,"在,裏,在,時候,在,方面,在,以後,進入,在家裏,來臨,參與"
is,NotFoundAnyMeanings
it,"去,進行,流動的,巡邏的,行程,野心大的,查帳,審計,試鏡,迂迴的,起初的,姓名首字母縮寫,開始,發起,運輸,轉型,過渡,短暫的,過渡的,過境,旅客,滅亡"
me,"代名詞,受格,我"
no,NotFoundAnyMeanings
of,"的,關于,對於,由,製成的,由於,因為,來自,的,從,在,方面"
on,"在,上,在,時候,依靠,根據,打開的,在工作的,在進行"
or,"或者,抑或,即,也就是說,否則,要不然"
se,"離開,分開"
so,"原來,如此,這樣,因此,所以,以便,那樣"
to,"到,向,往,趨于,傾向,直至,為止,在,之前,到,達到,對,給"
up,"向上,在上面,往上游,往北,往城裏去,發生,增強,光,完,起床"
act,"行為,幕,法案,動作,行動,表演,盡職責,假裝,扮演,裝作,下判決"
add,"加,增加,補充說,加,增加"
adj,NotFoundAnyMeanings
adv,副詞
age,"動詞,使變老,使,酒之,味道變醇,使成熟,名詞,年齡"
aid,"幫助,有助之物,助手,援助,幫助"
ail,"動,詞,使痛苦,使苦惱,干擾,使不適,感到不適,生病"
air,"空氣,氣氛,氣派,架勢,空中,高空,空軍,吹風,宣揚,播送,發表,表達"
all,"整個的,全部的,所有的,大家,全體,所有的人或物,完全,都"
and,"和,以及,而且,並且,那麼"
any,"形容詞,任何的,副詞,用於疑問句,否定句,子句中,少許,稍微,代名詞,任何一個"
apt,"形容詞,易於,的,恰當的,聰明的"
are,"動詞,是,在,動詞第一,第三人稱,複數,現在式,第二次人單,複數,現在式"
art,"藝術,美術,技術,技藝,學科"
ask,"問,詢問,要求,請求,問,要求,請求,邀請,請"
ast,"美國公司,異步系統自陷"
awe,"敬畏,由權力,才華,美貌引起的,包含尊敬,恐懼和驚異的複雜情緒,例,困難嚇不倒這些年輕人類,可怕的讓人敬畏可鄙的讓人鄙視反,不尊敬的,不尊敬"
awl,"用來在木頭或皮革上打洞,尖鑽,錐子,區,貓頭鷹,頭是圓的,類,錐子用來刺破研棒用來搗碎,錐子,尖鑽"
axe,"斧頭,類,鐮刀是收割者的工具斧頭是伐木工的工具,斧,經費的,大削減"
bad,"壞的,差的,劣的,糟糕的,笨拙的,遺憾的"
ban,"禁令,禁止,取締"
beg,"請求,懇求,乞求,乞討,乞討,乞求"
bet,"動詞,以,錢,物等,打賭,名詞,打賭"
bid,"出價,投標,祝愿,命令,吩咐,出價,投標,支付"
big,"大的,巨大的,重要的,重大的"
bin,"箱柜,計,二進制文件的擴展名"
bit,"位計算機名詞少量,馬嚼子,輔幣,上馬嚼子,控制,咬"
bog,"沼澤,泥沼,由雨水匯集而成,沒有出口"
boo,"把,噓下舞台,反,誘捕,作噓聲,噓"
bud,"動詞,使發芽,名詞,葉芽,花蕾,少女"
but,"副詞,只,僅僅,才,絕對地,介系詞,除,以外,連接詞,但是"
can,"能夠,可以,可能,會,罐頭,裝罐"
cob,"記讀科比,布萊恩特,美國球星,長得就像玉米棒子,玉米棒子,圓塊,搗碎"
cow,"母牛,大型母獸,用威脅或武力手段,嚇唬,威脅,反,使有膽量,勇敢的,被嚇壞的"
coy,"腆的,逃避公眾和社交場合的,忸怩的,目的是不愿作出承諾,故意而且經常的諂媚地,害羞的"
cub,"動物,熊,獅,狼,虎等,的幼獸"
cud,"嚼煙,反芻物,細想,玩味"
cue,"開端,線索,開始,長隊,發辮,編發辮"
cut,"剪切,切口,割傷,降低,切,割,砍,削,傷口,削減,縮短,刪節,近路,經切割的"
day,"白天,白晝,日子,時代,全盛時期"
den,"獸穴,賊窩,秘密相聚的地方,私人的舒適的小書房,獸穴,洞穴,舒適的,私室,作學習或辦公用"
det,NotFoundAnyMeanings
die,"死亡,消逝,平息,渴望,漠然,熄滅,死,骰子,鋼型,硬模,沖模"
dig,"動詞,挖掘,名詞,刺,戳,碰,挖苦"
dim,"形容詞,微暗的,暗淡的,動詞,變暗淡,變模糊"
din,"記象聲詞源于大街上汽車喇叭的,的聲音,喧鬧聲,雜亂無章而且不和諧,震耳欲聾,使人厭煩的,喋喋不休,類,惡臭刺鼻喧鬧刺耳,反,安靜,寂靜,喧囂,絮絮不休地說,喧鬧"
dog,"狗,犬,類似犬的動物,卑鄙的人,小人,壞蛋,跟蹤,尾隨"
don,"西君,先生,西班牙語冠于男子姓名前,閣下,英國劍橋或牛津大學,指導教師,穿上"
dry,"幹的,無酒的,枯燥無味的,乾燥的,把,弄幹,變幹幹,乾涸"
due,"形容詞,應支付的,欠款的,副詞,置於方位詞前,正,名詞,應得之物,應得權益,應付款,稅金"
dye,"動詞,把,染上顏色,名詞,染料,染色"
eat,"吃,喝,腐蝕,侵蝕,吃,吃飯"
elm,"記不住,可以不記讀愛我嗎這句話比較適合在榆樹下說,因為涼快,不會讓對方緊張的出汗,榆樹,做為蔽陰樹,植榆樹"
end,"結束,終點,目標,末端,梢,死亡,殘餘,結束,終結,終止端,結束"
err,"記作為詞根徘徊,錯誤,犯錯誤,犯罪,犯錯,做錯,犯罪,廢走上歧途"
esp,第六感
etc,"等等,其他,縮寫"
ewe,"記把個當作羊眼,的兩邊伸長作羊角,自己在旁邊畫一張圖,成年母羊,類,羊母羊天鵝雌天鵝,母羊"
eye,"眼睛,眼狀物,眼光,視力,觀察力,看,注意,注目,見解,觀點,判斷,看,注視"
far,"遠的,久遠的,遙遠的,甚遠地,很,很晚地"
few,"形容詞,少數的,一些,代名詞,與或連用,一些"
fig,"記,葡萄牙國家隊右前衛,現效力于皇家馬德裡,由于處于中場位置,進球不多,但是助攻極有威脅,自己不開花,幫助別人結果無花果,無花果,具有可食用的味甜,中空,呈梨狀聚花果,一點兒,例,完全不放在心上,植無花果,無花果樹,無價值的東西,少許,一些,服裝,打扮,使馬跑快"
