abandon,"動詞,放棄,名詞,放縱,放任"
abandoning,放棄
abandonment,"名,放棄,遺棄,去禁止給過程,名詞禁止繼續給予"
abase,"降低,使謙卑,降低地位,威望或尊嚴,例,出賣朋友的人實際上是自貶身份根,源自拉丁語,低的,讀音像貝斯,一種低音樂器,參,貶低,底下室"
abash,"使不安,使羞愧,使窘迫"
abate--0,"使,數量,程度等,減少,減輕,除去,緩和,打折扣,數量,程度等,減少,減輕,失效,緩和,法令等,被廢除"
abatement,"減少,減輕,緩和"
abbre,雅培
abbreviate,"縮寫,縮短,簡化,簡寫成,縮寫為"
abdicate--0,"正式放棄,退位,辭職,記法,離開,命令,不再命令退位,辭職"
aberrant--0,"脫離正道的,脫離常軌的,變體的"
aberration,"偏離常軌,偏差行為,精神異常"
abet--0,"教唆,煽動,幫助例,助紂為虐源源於餌有引誘的意思區,接界,毗連,一個,但是,連詞,何謂連詞,就是連接兩個分句的詞,引申為連接兩個國家的邊界"
abeyance,"暫停,終止,記法音讀,在海灣暫停"
abhor,"憎惡,痛恨例,他痛恨撒謊根發抖,恨,怕參,可怕的,恐怖的,令人討厭的,反,熱愛,非常仰慕"
abhorrent--0,"令人憎恨的,可惡的,厭惡的,相反的,不一致的"
abide,"遵守,忍受,居留,堅持,忍受"
abiding,"同義字詞,持續的,永久的"
abilities,的復數
ability,"能力,才智,能力,才智"
abject,"無精打采的,地位,身份悲慘,淒涼的,卑微的,討好的"
abjure--0,"發誓放棄,氣絕,記法,離開,發誓,發誓放棄"
able,"有能力的,能幹的,能夠的,可以的"
ablution,"記讀,神一個藍色的神,可以洗禮你的靈魂連帶提一下,很多人發音都念錯,有人念,弦,或,詢,在這教你只要念,省,的音後接著吐舌頭出在嘴唇間念音標,的音就對,再念一次,省,洗禮,洗淨身體作為宗教儀式的一部分,例,齋戒沐浴,根離開,沖,洗洗禮,參,沖淡,稀釋,史前的,大洪水以前的,清洗"
abnegate--0,"放棄,權力或要求,自我克製,某物,根離開,否定,吃的過去式參,消極的,否認的,背信棄義,反,再次確認和肯定"
abnormal,"不正常,反常,變態的"
abnormally,"同義字詞,反常地,異常地"
abolish--0,"廢除,制度,法律等"
abolition,"記看到,就要知道是名詞,廢除,特指廢除奴隸製度,例,廢止奴隸製,源字源於動詞,廢除,反,堅持奴隸製,廢除,廢除奴隸制度"
abominate,"痛恨,因凶兆而,厭惡例,痛恨罪惡根遠離,兆頭因凶兆而厭惡讀,暴民,兆頭,吃暴民把你的飯都吃了痛恨,厭惡,炸彈,吃吃了一個炸彈痛恨參,不吉的,凶險的,反,尊敬"
about,"關於,對於,與,有關,大約,左右,差不多,在周圍,在附近,到處"
above,"形容詞,上文的,前述的,副詞,在上面,在上文,更高,介系詞,在,之上"
aboveboard,"記在上面,板子站在板子上面,不耍花樣,光明正大君子,光明正大的,地,不搞欺騙或詐欺的,地,源在上面,木板在板上原為賭博術語,當賭徒的手放在木板,賭博桌,上面時就無法出老千,比如在桌子下面換牌,反,詭計,狡詐,秘密的,光明正大的"
abrade,"磨蝕,磨損,因摩擦而破損或擦傷,侵蝕,根去掉,擦摩擦掉磨損參,有研磨作用的,粗糙的,粗暴的,類被磨損因為摩擦被蒸發因為熱被弄乾因為脫水反,增大,使,數量,程度等,減少,減輕,除去,緩和,打折扣,數量,程度等,減少,減輕,失效,緩和,法令等,被廢除"
abrasion,"記去掉,擦摩擦掉磨損,都是抽象名詞字尾,磨損,皮膚上的,擦傷處,例,抗磨性,風化,類,使磨損導致磨損加熱導致蒸發,潤滑阻止磨損密封阻止泄漏,磨損"
abrasive,"有研磨作用的,有磨石作用的"
abreast,"並列地,並排地"
abridge,"刪節,縮短,剝奪,縮短兩地"
abroad,"到國外,在海外,到處"
abrogate,"官方的正式廢除,無視某事的存在"
abruptly,"突然地,意外地例,天氣的突然變化,急轉彎"
abscission,"記離開,剪刀有將物,分開,之功能,切之意,脫離,葉子,花朵或果實的自然脫落,切除,截去的行為,根離開,切,割切除,脫離,參,剪刀,反,嫁接,切斷,除去"
abscond,"潛逃,源,逃跑並躲藏,衍,解,是,秘密,逃離的意思,常用於,捲款潛逃,的情形,捲款,挪用公款,是"
absence,"缺席,不在,缺少,沒有"
absent,"缺席的,不在的,缺乏的,漫不經心的,缺席"
absenteeism,"地主不在,怠工戰術"
absolute,"形容詞,絕對的,完全的,名詞,絕對事物,絕對"
absolve--0,"宣告,無罪,赦免,免除"
absorb,"動詞,吸收,液體,氣體,光,聲等"
absorbed,"專心一意的,全神貫注的"
absorbing--0,"很吸引人興趣的,很吸人注意的"
absorbs,吸收
abstain--0,"禁絕,放棄,記法,不,抓著,不抓住放棄"
abstaining,"戒,避免,避開"
abstemious--0,"飲食適度的,有節製的,節省的,節儉的例,一個飲食有度的人,節儉的晚餐離開,植物的莖,多離開植物很多的不吃飯了飲食適度的"
abstention,"棄權,投票,戒除,藥,酒,維持,抓住,棄權票,三兄弟"
abstentious--0,"禁慾的,有節制的,字根,保持,維持,抓住,包含,容納"
abstinence,"戒絕,戒除,最有效的避孕方法是完全禁慾"
abstinent--0,"飲食有度的,有節制的,不,抓住"
abstract,"摘要,抽象,抽象的,深奧的,摘要,提煉,使抽象化"
abstruse--0,"深奧的,難懂的,不,伸,伸不進去"
abstruseness,深奧難懂
absurd,"不合理的,荒謬的,可笑的,愚蠢的"
abundance,"豐富,充裕,豐富充裕"
abundant,"豐富的,充足的,波浪,流"
abundantly,"大量的,充足的,豐富的,的衍生的副詞"
abuse,"動詞,濫用,虐待,名詞,濫用,虐待"
abusing,濫用
abusive,"漫駡的,譭謗的,虐待的"
abusively,辱罵
abut,"與連用,接界,毗連,與,連用,緊靠著,緊挨著例,與另一塊地相鄰,他的房子緊靠教堂"
abysmal,"極低的,極可憐的,程度很深的,極端的"
abyss,"記沒有,底無底洞深淵,深淵,深坑,例,絕望的深淵,深淵"
academic,"專科院校的,研究院的,學會的,學術的,理論的"
academician,"記學院,大學,研究院,某人學者,學會會員,院士,學者,例,國家科學院院士,學會會員,院士,大學生,學者"
accede--0,"答應,同意,繼承,加入"
accelerate,"加速,加快,促進,速度增加"
accentuate,"強調,以重音讀出,加重音符號於,記法,加強,唱,說"
accept,"接受,相信,承兌,同意,承兌"
acceptability,"可接受,承認,合意"
acceptable,"形容詞,可以接受的,令人滿意的"
acceptance,"名詞,接受,領受,票據等的,承兌,認付"
accepted,"一般承認的,公認的"
accepting,接受
access,"通路,訪問,入門,存取,接近"
accessible--0,"易於得到的,易於進入的,可處理的,可存取的"
accessory,"形容詞,附加的,附屬的,名詞,附件,配件,從犯"
accident,"事故,意外事件,車禍,意外,偶然"
accidental,"意外的,偶然的非本質屬性"
accidentally,"意外地,偶然地"
acclaim,"喝彩,歡呼,贊同,歡呼,喝彩,稱贊"
acclimate,"記朝向,氣候適應氣候使服水土,使服水土,使適應,一新的環境或條件,例,水稻已能適應這兒的環境,反,不習慣,使適應新環境,使服水土,服水土,適應"
accolade--0,"推崇,讚揚,記法脖子把獎牌掛在脖子上"
accommodate,"能容納,能提供,膳宿,給,方便"
accommodating,"形容詞,樂於助人的,親切的,肯通融的,給人方便的,善於適應新環境的"
accompany,"伴隨,陪伴,陪同,伴奏,為,伴奏"
accompanying,"陪伴的,附隨的"
accomplice,"同謀者,幫凶,不管是充當主犯還是從犯,根共同,重疊一起做同謀參,口是心非,複雜的"
accomplish,"動詞,完成,實現,達到"
accomplished,"完成的,實現的,善社交的,有造詣的"
accord,"一致,符合,和諧,協調,給予,使一致,自願,主動"
according,"相符的,和諧的,相應的"
