irritated,"形,被激怒的,惱火的,刺激唄,的,形容詞被刺激而導致憤怒的"
isolation,"隔絕,孤立,隔離"
itinerary,"旅程,旅行指南,遊記,巡迴的,遊歷的,旅程的"
itinerate,"巡迴,遊歷"
jaundiced,"記,下面,冰,有偏見的人容易渾身發熱,所以要放在冰的下面,有偏見的,嫉妒心重的,反,好意的處理,公平的,無偏見的,患黃疸病的,敵視的,有偏見的"
jejune--0,"文章,枯燥乏味的,缺乏營養的類複雜的缺乏簡單枯燥的缺乏興趣反,引起思考的,發人深省的"
jovial--0,"愉快的反,悲哀的,憂郁的,易傷感的,郁悶的,單調的,可憐的"
judgement,"審判,判決,評判,見識,判斷力,意見,看法"
judgments,NotFoundAnyMeanings
justified,"形容詞,有正當理由的,情有可原的"
juxtapose,"把不同的事物並置,把,並列,展覽同時展出了畢卡索早期的畫作和他的一些晚期作品"
knotty--0,"木材等,多結的,多節的,多瘤的,棘手的,困難多的"
knowingly,"存心的,故意的,使衰弱"
knowledge,"知識,學識,學問,知道,瞭解消息"
labyrinth,"記,實驗室,裡面,死,在實驗室裡面死了,因為是迷宮,迷宮,源原指牛頭人身怪彌諾陶洛斯被囚禁的迷宮,彌諾陶洛斯是半人半牛的怪物它住在克裡特島的迷宮中並吃掉雅典進貢的童男童女直至被忒修斯殺死,類,迷宮的特點是曲折的裝飾品的特點是裝飾的,迷路,迷宮,難解的事物"
landslide,"名詞,山崩,選舉中的,壓倒性大勝利"
languages,語言
lassitude,"沒精打采類不定形缺乏定形疲倦缺乏精力傲慢不會服從疲倦不會活動反,精力充沛的感覺,活力,精力"
latent--0,"潛伏性的,隱藏的隱約的指印"
lavish--0,"奢侈浪費的,豐富的反,吝嗇,節省,吝嗇的,吝嗇的,沒有錢的,節約的,儲藏,簡朴的,批判"
layperson,"門外漢,業餘人士"
leaven--0,"酵素,酵母,潛移默化的影響,使發酵,影響"
legislate,"制訂,法律,立,法"
legume--0,"名,詞,植物,豆莢"
leisurely,"形容詞,從容不迫的,悠閒的,副詞,從容不迫地,慢慢地"
levity--0,"輕浮,源,輕,解,注意,當動詞是,徵稅,的,徵,如"
liability,"責任,義務,傾向,債務,負債,與相對"
liberally,"寬大地,大方地,公平地"
libertine,"行為放縱者,放蕩的,放縱的,類,禁欲者不會放縱放蕩者不會克製,放蕩者是放蕩的馬屁精是逢迎的"
lifestyle,"名,生活方式,生活風格生活的風格"
lightness,"光亮度,颜色浅淡,轻,动作轻松迅速,举止优雅,无忧虑,轻浮,精巧"
limestone,"地石灰岩,石灰石"
limousine,"大型豪華轎車,機場巴士"
limpid--0,"清澈透明的,清晰易懂的反,混濁的,黑暗的,不清楚的"
liquidate,"償付,清算,掃除,整理,破產,消滅清算,清理"
literally,"照字面的,原義的,如實的,的衍生的副詞,副詞,逐字地,照字面地,正確地"
locale--0,"事件發生的,場所或地點"
locations,定位件
locust--0,"蝗虫,洋槐,刺槐"
logically,"邏輯地,在邏輯上,必然地"
logistics,"記源于,研究物資的邏輯關系,后勤學,后勤學,物資和人的獲得,分配,維護和補充,物流學,后勤學,后勤"
long-term,"經過長時間的,長期的"
longevity,"長命,壽命,供職期限,資歷"
lubricant,"潤滑劑,調解人,有助于減少困難或沖突的人,類,夾板防止能動性潤滑油防止摩擦,滑潤劑"
lubricate,"使滑潤,給,上潤滑油"
luxurious,"形容詞,奢侈的,驕奢淫逸的"
maculated,有斑點的
makeshift,"權宜之計,臨時代用品,權宜的,臨時代用的"
maladroit,"不靈巧的,笨拙的類笨拙的缺乏技巧靈巧的輕松流利的缺乏深度流利的缺乏簡短的柔順不是倔強的老練不是笨拙的反,敏捷熟練的,靈巧的,機巧的"
malicious,"惡意的,蓄意要傷害別人的,參,惡意,壞,的冰塊,讓你吃,惡意,類,惡意的人有惡意夸大的人有夸張勤勉的人努力反,易膨脹的"
malign--0,"誹謗,惡毒的參,良性的,仁慈的,反,贊美,贊美"
manhattan,"曼哈坦島,曼哈坦雞尾酒"
manifesto,"宣言,声明,告示,罕发表宣言声明"
mapmaking,NotFoundAnyMeanings
margarine,乳瑪琳人造奶油
marsupial,"有袋動物,有帶動物的"
marvel--0,"動詞,感到驚訝,感到好奇,名詞,令人驚奇的事物,或人物"
masticate,"咀嚼咀嚼食物,用牙咬和磨"
mechanics,"名詞,力學,機械學,技術,技巧"
meddle--0,"干涉,弄亂,參與,與,發生關系"
medicated,含藥的
melodious,"旋律美妙的,調子優美的,音樂性的"
