aerie,"鷹巢,高處的房子,高處的城堡"
affix,"粘上,貼上,在合同上添寫某事物,詞綴"
after,"副詞,以後,之後,在後面,隨後,介系詞,在,之後,連接詞,在,之後"
again,"重新,又,再,再一次"
agape,"記,一再,張開,張大,作,猩猩做猩猩,猩猩有一個毛病張大嘴這是有生理原因的,猩猩原本是大攙貓的代表看見什麼都想吃,包括天上星星,所以每天晚上它都張著大嘴,仰望星辰故取名為猩猩,星星,別懷疑就是這樣背單字的,目瞪口呆地,的,因驚訝而大張著嘴地的,例,她獨自一個張大著嘴發呆,張口發呆地,目瞪口呆地"
agent,"媒介,動因,代理人,行為者,經紀人,作用物,藥劑"
agile,"靈活的,輕快的,敏捷的"
agony,"苦惱,痛苦,劇痛,陣痛,極度的痛苦"
agree,"同意,贊成,承認適合,同意"
ahead,"副詞,在前,向前,預先,事前"
alert,"警惕,警戒,警報,警惕的,警覺的,警惕"
alias,"記源于,偏見,因為別名,化名就是怕別人對他的從前產生偏見而起的另一個名字,目的是誤導別人,化名,別名,虛構的名字,例,約翰遜,又稱約翰,根另外,其他的,作為作為其他的名字化名,類,綽號用來貶低別名用來誤導,別名,化名"
alibi,"某人當時不在犯罪現場的申辯或証明,被告人試圖以此証明他在犯罪發生之時在其它地方,借口,托辭,為逃避指責或証明行為正當而提出的解釋,例,你能証明不在犯罪現場嗎,為遲到找到一個借口根其他,存在其他存在不在現場,拉丁文"
align,"排列,排成一行,結盟,使結盟,使成一行"
alike,"相同的,相像的,同樣地,一視同仁地"
allay,"減輕,使平靜,類"
allow,"允許,同意給予,承認,考慮,體諒,容許"
aloft,"在空中,在頭頂上"
alone,"單獨地,獨自,只,只有,單獨,獨一無二"
along,"副詞,向前,一起,帶著,來到,去到,介系詞,沿著"
aloof,"疏遠的,冷淡的,遠離,離開,魯夫離開家鄉疏遠的,冷淡的"
alter,"改變,改服裝使之更為合身,閹割,割除動物,如貓或狗的卵巢,例,這些衣服得修改,天氣幾乎天天變化參,爭論,口角,交替,間隔,類易碎的容易破碎有延展性的的容易改變"
