disperse--0,"分散,傳播,散開,分散,分散的"
displace--0,"擠走原來的東西,進駐原來的位置,類似排水法概念"
displeasure,"不愉快,不滿意,類,擁抱表示愛皺眉表示不高興,不愉快,不滿意"
disproof--0,"用証據,反証,反駁的証據,反,証實,証明,反証,反駁,反証物,反駁的証據"
disprove--0,"証明,是不對的,提出,的反証,反駁"
disquieting,"令人焦慮的,使人不安的,讓人擔心的"
disregarded,"不理會,不顧"
dissolution,"社團等,解散,婚約等的,解除分散,溶解衰敗,死亡,消亡,離婚"
distinct--0,"清楚的,明顯的,截然不同的,獨特的"
distinction,"區別,差別,級別,特性,聲望,顯赫"
distinctive,"區別性的,鑒別性的,有特色的"
distinguish,"區別,辯明,識別,辨認出,區別,辨別,識別"
distress--0,"悲痛,窮困,不幸,危難,憂傷,使悲痛,使窮困,使憂傷"
disturbance,"打擾,擾亂騷亂,紛亂困擾"
divestiture,"頭銜,財產,權利的剝奪,脫衣,反,獲得,獲得物,頭銜,財產權利等的,剝奪,脫衣"
documentary,"形容詞,文件的,電影,電視等,記錄的,名詞,記錄影片"
doldrums--0,"憂鬱期,沒精打采的日子,經濟蕭條期源原指赤道無風帶靠近赤道的海域,特征是或風平浪靜,或起微風或起颶風,對于船員來說,那時只有帆船,這兩種情況都挺令人"
dolorous--0,"悲傷的,衍,記,人生的色彩,被,掉了了變,所以很,悲傷"
domesticate,"馴養,使安于土地,教化"
domineering,"囂張跋扈的,盛氣凌人的"
downplay--0,"贬低,轻视,不予重视,将,轻描淡写"
eclectic--0,"折衷主義者,折衷派的人,選擇的,折衷的"
eclecticism,"折衷主義,選擇的,折衷的"
ecstatic--0,"欣喜若狂的,狂喜的,心花怒放的"
efficiently,"很有效率地,效率高的,有能力的,效率"
effluvia--0,"記出,流流出污水,惡臭,的複數,廢料,廢水,廢氣,廢物或腐爛物發出的,惡臭,參,流出的,流出物,污水,反,想得到的產品,臭氣,的復數形式"
effusive--0,"溢出的,感情奔放的,感情溢于言表的,不節製的,過度的,參,流出物,瀉出,類,感情奔放對感情奔放的憤怒對憤怒的奔放的感情放肆的自由反,無感情的"
elaborately,"苦心經營地,精巧地"
elephantine,"記,大象,笨拙的,龐大的,反,非用顯微鏡不可見的,象的,粗笨的,巨大的"
elimination,"排除,除去,根除淘汰"
embellished,"装饰的,装潢的"
embitter--0,"記,苦的,用調料使,發苦,使加重痛苦,加苦味于,使受苦,使難受,使怨恨,加重"
eminence--0,"卓越,顯赫,著名,字根,突出"
emotionally,"情感,情緒上,感情強烈地"
emotions--0,"情感,情緒"
enchantment,"魔力,魅力,妖術,迷惑,著迷"
encomium--0,"誇獎,讚揚,類,頌揚的,反,惡罵,誹謗"
encumber--0,"妨礙,拖累,塞滿,阻塞,這間屋子堆滿了舊傢俱"
endeavor--0,"努力,盡力,竭力,力圖,試圖"
enduring--0,"持久的,這件樸實,毫無雕琢的物品代表著藝術在中國歷史上扮演的歷久不衰的角色上週在紐約大都會藝術博物館開幕的,中國帝王瑰寶展,盛展中,這件物品展示在最主要的位置,在一組事物中被視為最重要的,豪華的,昂貴的"
enervate--0,"重要,使無力,源,肌腱,是肌肉活動的關鍵,引申為,活力,精力,衍,例,解,此字長相和,接近,但字源不同,意義恰好相反,來來自,有,精力,才能工作"
enfeeble--0,"使虛弱,使無力,虛弱的"
enfetter--0,"束縛,上腳鐐,記法使,音讀,廢他,使他成為廢人上腳鐐,束縛"
enfranchise,"記,選舉權,賦予公民權,法國,中國,賦予,投票權,公民權,選舉權,參,剝奪公民權,類,給予選舉權可以投票點燃可以燃燒照亮可以看到,反,上腳鐐,使為奴隸,束縛,使再臣服,給予選舉權,給予自治權,解放"
engender--0,"引起,使發展,產生,出現"
enlightened,"被啟發的,進步的,文明的"
enormity--0,"殘暴,滔天大罪,暴行,巨大,負面"
enthralling,迷人的
entitlement,"應得的權益或津貼,權利"
entreaty--0,"懇求,哀求,迫切要求,類強行命令不是懇求強行刺激不是誘使,誘惑,慫恿,引誘"
environment,"環境,外界,圍繞"
envision--0,"想像,計畫將來的事"
epilogue--0,"文學作品的結局,戲劇的收場白"
esoteric--0,"圈內人才懂的,神秘的,秘傳的"
essentially,"本質上,實質上,基本上"
established,"建立的,制定的,確立的,確認的,既定的"
establishes,"建立,設立,創辦"
estrange--0,"使疏遠,離間,使感情失和"
euphoria--0,"心情愉快,興奮,心情愉快的,心滿意足的"
evasiveness,推諉
everlasting,"永恆的,持久的,無止境的,耐用的"
exaggerated,"形容詞,誇張的,言過其實的"
exaggerates,"誇張,誇大,對,言過其實"
excavate--0,"挖掘,挖出,記法,外,洞"
exceptional,"優越的,傑出的例外的,獨特的,異常的"
excessively,"非常地,過度地,過份地,極度地"
exclamation,"驚歎詞,驚呼,哀號"
exclusively,"唯一地,全部地"
execrate--0,"憎惡,咒罵參,詛咒,憎惡,類,痛罵指"
exhilarated,"高興的,興奮的"
exhortation,"勸告,為鼓舞,刺激或勸告而作的,勸誡性的講話,類,勸告為了激發指責為了羞辱嘲弄為了激起情緒,謾罵為了使丟臉,勸告,講道詞,訓詞"
exigency--0,"應急情況,當務之急,迫切需要"
existential,"關於人類存在的,存在主義的"
exorcise--0,"驅魔,除去,壞念頭,記法,出,外,切"
expectation,"期待,期望,指望,預料"
expeditious,"迅速的,敏捷的,銀行很快就給我回了信"
expenditure,"花費,使用,尤指金錢的,支出額"
experienced,"形容詞,有經驗的,老練的,熟練的"
explanation,"名詞,說明,解釋"
explicit--0,"形容詞,詳盡的,清楚的"
exportation,NotFoundAnyMeanings
expostulate,"對人或行為進行,抗議,告誡"
expressions,"表式,陳式"
externalize,"記,外部的,客觀的,表面的,外部,外面,使,表面化,外在化,把內在沖突或情感歸于外部環境或外因,給,以外形,使客觀化,使具體化"
extirpation,"記,根除,摘除,瘤等,出,根連根拔出根除,完全,消滅,根除,參,世系,血統,種,優生法,反,傳播,繁殖,消滅,根除,毀滅"
extrapolate,"推斷,記法,外面,放,向外面放話,預測,推斷"
factotum--0,"家務總管,雜役,打雜的人,印特大型花體大寫字母"
familiarity,"熟悉,通曉,親密,熟悉,精通"
familiarize,"動,使熟悉,使親近,熟悉的使成為,動詞使成為熟悉的"
fanatically,"狂熱地,盲信地"
fanciful--0,"指人,富於幻想的,指物,設計或裝飾新穎奇特的"
feasible--0,"可行的,行得通的,可能的"
featureless,"無特色的,平凡的"
feckless--0,"不負責任的,無氣力的,效率低的"
ferocity--0,"記,凶猛的,暴躁的,回憶在肉的城市,殘暴,凶惡,凶猛,殘暴,參,凶惡的,凶猛的,凶猛,殘忍,暴行"
fidelity--0,"忠實,誠實,忠誠,保真度,收音機,錄音設備等的,逼真度,保真度,重現精度"
fitfully--0,"斷斷續續地,不規則的"
flamboyance,"華麗,浮誇,炫耀,火紅"
fleeting--0,"重要,短暫的,瞬間的,衍,時間不知覺地流逝,例"
flippant--0,"輕率的,輕浮的,飛,掛在外面的褲子飛起來"
fluctuating,"變動,上下搖動"
fluorescent,"日光燈,螢光的"
forbearance,"面對挑釁時的自制,忍耐,記,忍耐,克制,祖先,熊,忍受,的過去式"
forebode--0,"預言,佛播的佛播的電台預示,告示"
foremost--0,"位置或时间,最先的,最初的,最重要的,首要地,首先"
forestalled,阻礙
foretelling,NotFoundAnyMeanings
forethought,"事先的考慮,深謀遠慮"
four-poster,"記,柱,郵件,崗位,海報,招貼,四柱床,有很高的為支持床的華蓋或頂棚的柱的床,類,四柱床是頂棚可拆床敞篷車是頂棚可拆車,有四根帳杆的臥床"
fragment--0,"碎片,破片,斷片,數據包片段,當路由器要將一包丟到網絡上時,如果包超出網絡上最大限制值,它就會分成若干小包,到目的地後重組成原來包"
frantically,"發狂似地,緊張忙亂地"
freethinker,NotFoundAnyMeanings
frustrating,"令人洩氣的,令人挫折的"
full-bodied,"味道等充足強烈,濃郁的,聲音,圓潤洪亮而熱情的,參,羽毛生齊的,發育完全的,窩邊,類,味道濃郁的聲音洪亮的,醇厚的,魁梧的,濃郁的"
functionary,"記,功能,運行,行使職責,行使職責的人,小官,低級公務員,官員,負責人,職員,官員,負責人員,機能的,職務的,作用的"
fundamental,"形容詞,基礎的,根本的,名詞,基本原則,或原理,綱要"
futility--0,"徒勞,無效,不重要的事,無益的事"
genuineness,"名副其實,真誠,類,偽造的不是真實虛幻的不是現實"
gerontology,老人病學
gerrymander,"記源于格裡他是獨立宣言,年,的簽署人,曾任馬薩諸塞州長,參與了,火蜥蜴,不公正劃分選區,為使某政黨在選舉中取得優勢不公正地將某地區劃成選區,類,競賽舞弊選區作弊,為本黨利益改划選舉區分,不公正操縱,欺騙,改變選舉區,欺騙"
