insurrection,"記,裡面,下面,豎直,站,國家裡面的下等人站直了,造反,造反,叛亂,公開反抗國內政權的行為,參,正直,公正,複興,複活,起義"
integrity--0,"正直,誠實,完整未受損害的狀態類一般的有一般性整體的有整體性真實的有真實性反,不完全,感染,污點"
intellect--0,"名詞,智力,理解力,有才智的人"
intellectual,"有知識者,知識分子,憑理智做事者,智力的,知性的,聰明的"
intelligence,"智力,聰明,理解力,情報,諜報,資訊"
intercept--0,"截取,妨礙,截距,攔截,阻止,截取"
interjection,"感歡詞,插入之語詞"
interlocking,"記,連鎖,使緊密接合,互相,鎖,連鎖的,反,獨立自治的,無黨派的,聯鎖的"
intermission,"名,詞,間歇,暫停,中斷,幕間休息"
interplay--0,"互相作用,作用和反作用,互相作用"
interruption,"打岔,中斷,中斷之事"
intersect--0,"橫斷,直線,相交,交叉"
intervene--0,"介入,插入,調解,調停,干涉,幹預"
intervention,"介入,干預,調停"
intimidating,"嚇人的,令人生畏的"
intimidation,"恐嚇,類,諂媚者奉承敲詐者恫嚇,大膽的不會被使害怕抑製不住的不會被抑製,欺凌弱小者威嚇笨人輕信"
intricate--0,"復雜的,錯綜的,纏結的,難懂的"
intrinsic--0,"固有的,內在的,本質的"
introduction,"引進,傳入,採用,介紹,導言,引言,入門"
introductory,"序論的,引導的,入門的,初步的"
invective--0,"辱罵,抨擊,辱罵的類勸告是為了激發漫罵是為了羞辱"
invertebrate,"無脊骨的,無脊椎的,無骨氣的無脊椎動物,無骨氣的人"
invidious--0,"招致不滿的,惹人不快的,記法不看不長眼"
invigorating,"精神充沛的,反,催眠的,想睡的,精神充沛的,爽快的"
invigoration,"煥發精神,生氣勃勃,反,瘦弱,憔悴,媽媽,出門沒人做飯,鼓舞"
invulnerable,"記,易受攻擊的,無法傷害的,固若金湯的,類,難以防守的不能被防守無法傷害的不能被傷害,婉轉的話不會冒犯無法傷害的不會傷害,不會受傷害的,無懈可擊的"
irascible--0,"易發怒的,性情暴躁的類易怒的不容易安撫沒感覺不容易有意識的反,和藹可親的"
irredeemable,"記,贖回,挽回,無法挽回的,不能贖回的,不能贖回的,不能兌現的,不可救藥的"
irremediable,"無法治癒的,無法糾正的,無法挽回的"
itinerant--0,"巡迴的,遊歷的,流動的"
judicious--0,"有判斷力的,明智的,謹慎的,參,司法的,公正的,類,吝嗇鬼小氣賢人明智的,反,愚笨的,愚蠢的,輕率的"
jurisdiction,"司法權,審判權,法律,命令"
kaleidoscope,"萬花筒,事物等的,千變萬化"
laborious--0,"需要耗費大量體力的,勞工"
labyrinthine,"迷宮似的,複雜曲折的"
laudatory--0,"表揚的,贊揚的參,值得贊美的,反,漫罵的,可憎恨的,輕蔑的,輕蔑語"
lethargic--0,"愛睡的,無生氣的,使人昏睡的"
lighthearted,"中輕鬆愉快的,記,輕,心很輕的輕鬆愉快的"
listlessness,"倦怠,無精打采"
loser/victim,NotFoundAnyMeanings
lucrative--0,"賺錢的,有利可圖的,錢財"
ludicrous--0,"滑稽的,荒唐可笑的,類"
luxuriant--0,"繁茂的,豐富的,肥沃的,華麗的"
machinations,"陰謀詭計,密謀策劃"
maelstrom--0,"大漩渦,大混亂類大旋渦是洶涌的海市蜃樓是虛幻的"
magnitude--0,"巨大,重大,重要,大小,數量,光度"
malignant--0,"有害的,源,有害的,事物是,壞,的,解,此字可指,醫學上,的,有害,翻,惡性的,如惡性腫瘤"
malleable--0,"可塑的,有延展性的,順從的類有延展性的東西是可塑的有毒性的東西是有毒的可塑的可以成形可變的可以改變易碎的可以破碎易燃的可以點"
mandatory--0,"命令的,強制的,義務的"
manipulative,"善于操縱別人的,老于世故的類熟練的操作是靈巧的預言是有預見性的反,不狡詐的,坦率正直的"
mathematical,"數學的,數學上的,非常精確的"
mechanism--0,"機械,機構,結構,機理,技巧"
mendacity--0,"撒謊癖,虛假,謊言"
mercenary--0,"惟利是圖的,以獲取金錢或物質為唯一動機的,僱佣兵類惟利是圖的人想要錢懷恨在心的人想要報仇僱佣兵是要錢的兵僱佣文人是要錢的文人"
metaphorical,"使用隱喻的,她的第二本小說中運用了大量隱喻"
metaphysical,"形而上学的,超自然的,抽象的,英国玄学派诗歌或诗人的"
metropolitan,"大都市的居民,大主教,母國的居民,大都市的,大主教區的,母國的"
minuscule--0,"極小的,微小的,小寫字體"
misanthropic,"不願與人來往的,厭世的"
miscreant--0,"惡棍,歹徒參,罪行,類墮落的罪犯夢想的幻覺反,遵守法紀的人,聖人"
misgiving--0,"疑慮,記,所託非人,就會擔心"
misrepresent,"不如實地敘述或說明,誤傳,歪曲,詐稱"
momentary--0,"瞬間的,短暫的,隨時會發生的"
monomania--0,"偏執狂,狂熱病,記法,單一,狂熱,狂熱"
multicolored,多種顏色的
multifarious,"许多的,多方面的,各式各样的,猥,万端"
multiformity,NotFoundAnyMeanings
multiplicity,"多數,重復,多樣"
musicologist,音樂學者
near-sighted,近視的
negligent--0,"疏忽的,粗心的,不在意的"
neologism--0,"新字,新義記新話語新話語新字例"
neurology--0,"神經學,神經病學"
nevertheless,"然而,不過,仍然,不過"
nocturnal--0,"夜間的,夜間活動的"
noncommittal,"不表態的,未置可否的,態度曖昧的"
nonflammable,"記,不,火焰,不易燃燒的,不易燃的,不容易點燃或不能快速燃燒的,參,不遵守,無比的,極上品,平行的,沒有平行的人,傑出人物,類,堅韌的不是脆弱的不燃的不是可燃的,不燃燒的"
normative--0,"建立基準的,標準的,規範的"
nostalgia--0,"思鄉病,記法,家,痛,那是他的家,痛"
notoriety--0,"臭名昭著的,臭名昭著的人"
notorious--0,"惡名昭彰的,衍,壞事做太多讓大家都知道"
obfuscate--0,"尤指故意使模糊,使糊塗,使困惑,她被批評使用了混淆主要問題的論點"
objection--0,"異議,反對,缺點,缺陷,妨礙,拒絕之理由"
objective--0,"目的,受格,實物,客觀的,外在的,受詞的"
oblivious--0,"遺忘的,遺忘的,不注意的,不在意的"
obnoxious--0,"可憎的,不愉快的,討厭的"
obsequiously,NotFoundAnyMeanings
obstinate--0,"固執的,倔強的,難以改變的"
obstreperous,"吵鬧的,任性的類堅決的難以勸阻任性的難以控製反,受過訓練的,遵守紀律的"
octogenarian,"記,多歲的人,多歲的老人,參,八爪魚,章魚,八十歲的,八十多歲的,八十歲,八十多歲"
opportune--0,"指時間,湊巧的,恰好的,指行動或事件,及時,適宜的"
oppressively,壓迫地
ordinance--0,"法令,條文,命令,性質"
organization,"組織,結構,團體"
orthodontics,"齒科矯正術,正牙學"
outrageously,"兇殘地,肆無忌憚地"
overblown--0,"誇張的,過分渲染的,過分渲染的新聞報道"
overpowering,"壓倒性的,不可抗拒的"
overstepping,"違犯,超出,的限度"
overwhelm--0,"淹沒,受打擊,制服,壓倒"
overwhelming,"势不可挡的,压倒一切的,巨大的"
paleontology,"古生物學,化石學"
paramount--0,"至高無上的,最重要的,主要的,記法,旁邊,靠近,山"
