shocking,"触目惊心的,令人震惊的,可怕的"
shoplift,"動詞,冒充顧客在商店內偷竊"
shopworn,"記,商店,用舊的,在商店中陳列,舊了的,失去光澤的,參,從商店中偷商品,反,新的,在商店中陳列舊了,或壞了,的,陳舊的,陳腐的"
shoulder,"承擔,來自肩膀,解,肩膀是用來,擔,重物的,引申為,承擔,常與,責任,並用責任的固定搭配動詞承擔逃避"
sibilant,"記象聲詞,發出呲呲聲的,類,呲呲作聲是呲呲的嗡嗡作聲是單調的,作聲的,語齒擦音"
sickness,"疾病,不健康,嘔吐"
sidelong,NotFoundAnyMeanings
sidereal,"記,旁邊是真的當你眼冒金星是金星是假的旁邊的東西是真的,恆星的,類,樹木的對樹木恆星的對恆星河流的對河流感情的對感情,恆星的"
sideshow,"記,旁邊的表演,不重要的表演,穿插表演,穿插表演,在馬戲表演中的附加提供的小表演,附屬事件,參,極度可笑的,使人的肚子,邊上都,裂了,雜耍,穿插表演,附屬事件"
sidestep,"尤指透過開始談論別的事情迴避某個話題,演講者藉口說回答要很長時間而迴避了這個問題"
sideways,"形容詞,斜,向一邊的,向旁邊的,副詞,斜,向一邊,向旁邊"
silently,"安靜地,沈默地"
simulate,"動詞,模擬,模仿,偽裝"
sinecure,"工作清閑而報酬豐厚的掛名差事,閑職,罪孽,有罪惡感的"
singular,"形容詞,單數的,獨個的,名詞,單數"
situated,"形容詞,位於,的,坐落在,的"
skeleton,"骨骼,瘦如柴的人,梗概,骨幹,脈絡,概略的,基層的,家庭秘密的,骨幹的"
skillful,"形容詞,有技術的,熟練的"
skirmish,"記,讀迷失,裙子丟了會引起夫妻之間的小口角,小戰斗,小口角,類,小口角不重要決斗正式,小沖突,進行一場小沖突"
slant--0,"看待問題,思考的角度,看法,傾斜的,歪曲事實等"
sleeping,"睡眠,睡著的"
slightly,"輕微地,稍稍細長,苗條,微小"
slippage,"記源于,滑,從紙上滑下來,滑動,滑動,類,壓艙物消除不穩定防滑支點消除滑動趨勢,滑動,滑移,滑程"
slipshod,"馬虎草率的,邋遢的,不修邊幅的反,謹小慎微的,勤勉的"
sloth--0,"對工作,懶惰類放蕩的缺乏抑製偷懶的缺乏刻苦反,工業,勤奮"
slothful,"懶惰的,從樹懶,的動作緩慢而來"
slovenly,"衣著或外表,不整潔的,邋遢的類放縱的不是附著的不修邊幅的不是衣冠楚楚的反,整齊的,整潔的,整潔的,整齊的,整潔的"
slowness,"緩慢,遲鈍"
sluggard,"記,蛞蝓,一種行動緩慢的虫,象蝸牛,懶惰鬼,懶鬼,類,流氓是為害的懶鬼是懶惰的,作為名詞沒有貶義,偷懶者,懶鬼,游手好閑的人"
smacking,"活潑的,發出大的聲音的,精力充沛的摑"
smallest,最少
smoothly,"平滑的,光滑的,平坦的,的衍生的副詞"
snarl--0,"頭發或絲綢等,糾纏,使,局面等,混亂類免除責任消除責備松開消除糾纏反,解脫,解開糾結"
sneaking,"記,鬼鬼祟祟的做,源于,爬,秘密不公開的,偷偷摸摸的,參,鬼鬼祟祟的人,區,竊笑,偷偷逃走的,不爭氣的,內心里的,卑鄙的"
snobbish,"記,勢利的人,崇拜,有錢人,勢利眼的,諂上欺下的,假充紳士的,過分優雅的,類,過分關心的是多管閑事的過分優雅的是假充紳士的過分入迷的是,全神貫注的,勢利的"
sober--0,"在酒精或藥品方面,有節製的,清醒的,行為,性格,嚴肅莊重的反,淘氣的,惡作劇的,輕佻的"
sobriety,"節酒,節制,一本正經,莊重"
sociable,NotFoundAnyMeanings
socially,"在社會上,在社交上,親切地"
soldiers,"士兵,軍人"
solecism,"記,單獨的,唯一的,一個人生活在森林裡,比如人猿泰山,不懂語法和禮節,文法錯誤,舉止失禮,文法錯誤,舉止失禮,語法錯誤,謬誤,失禮"
solicits,NotFoundAnyMeanings
solidify,"團結,使充實,使鞏固,使穩固,他發表談話表明支持該條約的立場,進一步強調了他信守條約的承諾"
solitude,"名詞,孤獨,隱居"
solution,"解決,解決方法,溶解,溶液"
someones,NotFoundAnyMeanings
somtimes,NotFoundAnyMeanings
soothing,"感到慰藉的,使人寬心的"
sounding,"測量水深,探針診斷"
souvenir,"名詞,紀念品,紀念物"
spacious,"形容詞,寬敞的,廣闊的"
sparring,"拳擊,爭鬥"
spartans,NotFoundAnyMeanings
speaking,"談話,演說,講話的,適於說的,象要開口似的"
specific,"特效藥,特性,特殊的,明確的,具有特效的,特定的,具體的"
specimen,"標本,用以化驗的,抽樣"
spectral,"幽靈的,譜的,光譜的"
spectrum,"系列,幅度,范围,光谱,科频谱"
speed-up,促進某事的發生
spending,"開銷,花費"
spinning,"紡織,旋轉"
spiny--0,"記源于,脊椎,刺,表面,多刺的,事情,棘手的,參,沒骨氣的,無脊椎的,多刺的,反,平滑的,多剌的,剌狀的"
spirited,"活潑的,生氣勃勃的,猛烈的,用以構成複合詞,有,精神的,情緒,的,心地,的"
spiteful,"心懷叵測的,惡意的,惡意中傷的流言,說話尖酸刻薄"
splendid,"光亮的,了不起的,燦爛的,壯麗的,顯著的,傑出的"
splendor,"名詞,光輝,壯觀,輝煌"
splinter,"碎片,尖片,刺,微小的東西,劈開,使,破裂"
splutter,急切而不清楚地說
sportive,"爱玩的,爱好运动的"
sprinkle,"灑,散置,撒,點綴,灑,下小雨灑,散置,小雨,少量"
spurious,"本質上或起源上,假的,偽造的,私生的反,真正的"
spurn--0,"踢開,拒斥,踢到一旁,冷落,踐踏,唾棄,藐視,摒棄"
squabble,"由瑣事而引發的,爭吵,程度大于,小于,和,類,爭吵對小爭吵缺點對小缺點爭吵對小爭吵,爭論"
squander,"浪費,揮霍參,南瓜,壓扁,壓榨,類監考者監考揮霍者揮霍,虛度時間揮霍金錢反,節儉,保存"
squirrel,"松鼠,松鼠的毛皮,貯藏以備用"
staccato,"記,從中間斷開是,和,長得差不多,而且,結尾是意大利語,表示音樂,斷音的,斷奏的,音樂,斷音的,斷奏的,聲音斷斷序序的,斷奏,斷唱"
stagnant,"不流動的,停滯的,不景氣的,蕭條的,汙濁的,遲鈍的"
stale--0,"尿,不新鮮的,陳腐的,疲倦的,陳舊的,使變舊,走味,變陳舊,變無味"
stalling,耽誤
stamping,沖件
standard,"標準,水準,水平,規格,規範,規定,旗幟,標準的,一般的"
standing,"身分,地位,名望,站立的,常設的,持久的,長期的,正規的,律提起訴訟的資格,提起訴訟權"
stark--0,"僵硬的,完全的,刻板的,明顯的,荒涼的,結實的,實在,簡直,全然"
starting,"開始,開動"
statuary,"雕像,雕像藝術,雕像家,雕像的,雕像用的"
stealthy,"秘密的,掩人耳目的,鬼鬼祟祟的"
steeping,NotFoundAnyMeanings
sticking,"現在分詞,細長,棒,棒,枝木"
stickler,"記,堅持己見,棍,粘住,堅持,毫不屈服地堅持細節之人,參,粘的,粘性的,類,講究細節的人不會大約不嚴密純粹主義者不會摻假,堅持己見的人,困難的問題"
stimulus,"名詞,刺激,刺激品,興奮劑"
stinking,"發惡臭的,爛醉如泥的,非常討厭的"
stint--0,"節省,限制,停止,節約吝惜,節約,限制"
stockade,"記,存貨,樹干,進攻性,有進攻性的木頭,柵欄,柵欄,防御性護欄,參,矮壯的,健壯結實的,像樹干一樣,類,柵欄用來包圍柱子用來支撐,柵欄,圍起處,用柵欄圍住"
stopping,NotFoundAnyMeanings
stowaway,"記,裝載,隱藏,到遠處,藏于輪船,飛機中的,無票偷乘者,類,走私者逃稅偷乘者逃交通費,偷渡者,匿身處"
straight,"直的,挺直的,正直的,直率的,整齊的,有條理的,筆直地,對直地,正直地,俚習俗的,正統的,持正統習俗觀念的,異性愛的,不吸毒品者,固守習俗觀念的人,異性愛者"
stranded,"常用以構成復合詞,股的,多股的"
strategy,"名詞,策略,計謀"
straying,誤闖
strength,"力量,力氣,實力,強度,濃度,人數,抵抗力"
strew--0,"散布,充滿,散播"
striated,"記,有條紋的,加條紋,條紋,讀,街道的,沒有此詞,條紋的,有條紋的,類,用凹線劃成條紋狀用股編成辮狀用點畫成點狀,點刻用點加條紋用線,有條紋的,有細條的,有線紋的"
