betrayal,"背叛,告密,泄密,出賣,辜負,暴露"
beverage,"記是,一般的,的,飲料,不包括水在內,如茶,酒,牛奶,汽水,例,清涼飲料,根喝飲料,飲料"
bewilder,"動詞,使迷惑,使糊塗,難住"
bitterly,"嚴重地,激烈地,不痛快地"
bland--0,"無味的,溫和的,和藹的,記法白籃的藍白拖枯燥乏味的"
blandish,"哄騙,勸誘,孤操乏味的空白的"
bleak--0,"寒冷的,陰冷的,荒涼的,淒涼的,黯淡的"
blighted,"摧毀的,枯萎的"
blissful,"記,祝福,變成現實就會,讀不理事什么都不理幸福的,極度的幸福的,精神上,極樂的,類,十分討厭是非常厭惡十分愉快是極度幸福,有福的"
blizzard,"記,不,蜥蜴,不適合蜥蜴的天氣暴風雪,星際爭霸中的一種魔法,威力巨大暴風雪,暴風雪,時速高,可視率低,伴有大風,大風雪"
blockade,"記,防礙,阻塞,封鎖,封鎖,用武力隔離一個國家或港口,目的使阻止交通和商貿,例,道路讓雪堵塞了,類,阻礙議事通過阻礙立法封鎖阻礙貿易,阻塞,封鎖"
blockage,"封鎖,阻塞物,障礙物,例,管道堵塞了,封鎖,妨礙"
blooming,"記,花,開花,繁盛,旺盛的,地,盛開的,地,十足的,地,例,你是個十足的大傻瓜,珍妮是個大美女,盛開的"
blowhard,"記吹,猛烈的吹牛者,自吹自擂者,類,吹牛者吹牛諂媚者諂媚,俚吹牛大家"
boastful,"指人,好自夸的,自負的,例,以,自夸類吹牛者是好吹牛的諂媚者是愛諂媚的"
bogus--0,"假冒的,偽造的例,他發現了那幅畫是贗品反,真實的"
boldness,"冒失,厚臉皮,勇敢,大膽"
bonhomie,"記好,好人和藹,友好,親切,和藹,類,親切的人溫和有策略的人機智,和藹脾氣好的,溫和,敦厚"
boundary,"名詞,邊界,分界線,界限"
bracelet,"記雙臂,小東西戴在雙臂上的小東西手鐲,表帶,手鐲,手拷,表帶,戴在手腕或手臂上的裝飾品,手鐲"
branches,"树枝,的名词复数,分支,机构,组织,体系的一部分,航海学领航员在某一水域的领航执照"
breaking,"破壞,阻斷"
bringing,將
brochure,"假訂本,小冊子,小冊"
brook--0,"名詞,小河,小溪"
browbeat,"記眉毛,打架,嚇唬,欺侮,嚇唬,對,聲色俱厲地進行威逼,類,煽動者擅長煽動欺凌弱小者擅長威逼,恫嚇,嚇唬"
brutally,"野蠻的,殘忍無情的"
brute--0,"畜生,殘忍或好色之人,殘忍的,無理性的,畜生的"
bubbling,"鼓泡,冒泡,油漆起泡"
building,"建筑物,房屋,楼房"
bungling,"笨拙的,拙劣的工作"
burdened,有負擔的
business,"事務,貿易,商業,企業,經營,理由,權利"
cache--0,"探險家貯藏必需品,貴重品的,貯藏處,隱藏在秘密處例,把野營的供應物資貯藏起來類隱藏處是隱藏的頂點是難達到的"
calculus,"微積分學,數學的一個分支,結石,一種體內聚結,由礦物鹽形成,存在于膽囊,腎或膀胱中,微積分學,結石"
calipers,"測徑器,雙腳規"
calmness,"平靜,鎮靜,冷靜"
campaign,"戰役,運動,活動,競選運動,參加活動,作戰"
canny--0,"當涉及到自己的利益時,精明仔細的,節儉的"
capacity,"容量,生產量,才能,能力,接受力,地位"
carapace,"記汽車,一,走步汽車走一步像烏龜一烏龜殼,蟹或龜等甲殼綱動物的,甲殼,類,烏龜殼套住烏龜種子殼套住種子,甲殼,殼"
cardinal,"形容詞,主要的,深紅的,紅衣主教的,名詞,紅衣主教,深紅色,北美紅雀"
carefree,"無憂無慮的,輕松愉快的,不負責的"
careless,"不小心的,粗心的,馬虎的,我兒子的老師說他做作業經常粗心大意"
careworn,"記關心,是穿的過去分詞關心穿著憂心忡忡的,憂心忡忡的,擔心焦慮或責任繁重的,例,一張憂心忡忡的臉,反,心情愉快的,受憂慮折磨的,疲倦的,飽經憂患的"
carrying,"運送的,運輸的"
casualty,"嚴重事故,傷亡,受害者"
catalyze,"催化,促進,反,抑製,延遲,催化,刺激,促進"
category,"名詞,種類,類別"
catholic,"天主教徒,舊教徒,天主教的,舊教的,普遍的,一般的,寬宏大量的"
cautious,"形容詞,十分小心的,謹慎的"
cavalier,"騎士,武士,傲慢的,目空一切的,人們常常被他目空一切的態度弄得惱火,漫不經心的,無憂無慮的,隨口作的回答"
cease--0,"動詞,停止,終止,名詞,停息"
cellular,"細胞的,多孔的,例,泡沫塑料,細胞的"
centered,"形容詞,有圓心的,位於中心的"
ceramics,"名詞,當單數用,製陶業"
ceremony,"典禮,儀式,禮節,報幕員"
cescendo,NotFoundAnyMeanings
changing,不斷變化
channels,頻道
chant--0,"動詞,反覆地唱,或說,吟誦,名詞,詠唱,吟誦,單調的語調"
charging,充電
charming,"令人高興的,迷人的,有魅力的"
checking,正在檢驗
cheerful,"快活的,高興的,興高采烈"
chemical,"化學的化學製品,化學藥品"
cherubic,"記車,橡皮胖娃娃都喜歡玩橡皮車,因為不會傷害皮膚,小天使似的,白胖可愛的,天真無邪的,尤指小孩兒長得天真可愛,而且有胖乎乎的臉蛋,源,九級天使中第二級小天使,反,憂郁的,天使的,天真無邪的,可愛的"
childish,"孩子氣的,幼稚的,傻氣的"
children,"一個以上的孩童,的複數"
chipmunk,"記,計算機的芯片,和尚,芯片的特點是奔騰,和尚的特點是吃齋松樹的特點是奔跑和吃松子,素食,簡單方法,芯片和尚花栗鼠,把這句話朗讀遍,花栗鼠,有條紋的小松鼠,動,花栗鼠"
choleric,"記膽汁在古代被認為是發怒液易怒的,臭,了東西臭了發怒,易怒的,脾氣暴躁的,參,膽囊炎,暴怒,類,懦弱是因為被脅迫憤怒是因為被使敵對,反,難被激怒的,易怒的"
churches,NotFoundAnyMeanings
churn--0,"攪動,攪拌,翻騰,奶油攪拌器"
circular,"傳單,通報,圓形的,環形的,循環的"
civilian,"形容詞,百姓的,民用的,名詞,平民,百姓"
civility,"禮貌,端莊,禮貌話"
claiming,自稱
clashing,衝突
classify,"動詞,將,分類"
clear--0,"清除,掃清,清晰的,明白的,晴朗的,清澈的,明亮的,暢通的,無阻的"
cleavage,"劈開,解理,沿結晶面產生分裂,乳溝,低領口展露的部分,劈開,分裂"
clemency,"記源于,和藹的,仁慈寬厚的,寬大的,讀克萊門特一個男人的名字,他的特點是仁慈,讀可,樂,男人總是可樂的男人是仁慈的,對罪犯或敵人,仁慈寬厚,天氣溫和,反,無情,無情的,溫和,仁慈,和藹"
clinical,"臨床的,診所的,客觀的"
cloister,"記關,表地點關閉之地修道院,修道院,宗教隱居的地方,參,隱居的,回廊,修道院"
clothing,"名詞,總稱,衣服,衣著"
clownish,"滑稽的,粗魯的,似小丑的"
clumsily,笨手笨腳地
coalesce,"聯合,合併,記法,共同成長"
coercion,"强迫,高压政治,强制,威压"
coercive,"強制的,強壓的,強迫的"
cogitate,"記共同,記,它因為不好記,所以要一堆人共同記住它,記的時候要深思熟慮才能記得又好又快,深思熟慮,慎重思索,參,思考,苦思,類,哲學家喜歡思考偶像破壞者喜歡攻擊,思考,考慮"
cohesion,"結合,凝聚,團結力,附著"
cohesive,"有黏著力的,凝聚性的,有結合力的"
colander,"記共同,下面所有的水都向下走漏勺,濾器,漏勺,碗狀的廚房用具,有孔,用來滴漏液體及清洗食物,參,日歷,歷法,圓筒,類,星盤是航海的工具濾器是烹飪的工具,離心機用來分離濾器用來排液,濾器,漏鍋"
collapse,"倒塌,崩潰,失敗,虛脫,倒塌,崩潰,瓦解,失敗,病倒"
colon--0,"記把從上往下寫,在把兩個用筆圖黑,冒號就出現了,冒號,用于引導一個引用語,解釋說明,例子,冒號"
colonize,"開拓殖民地,殖民於,移植"
colossus,"巨型雕像,巨人,體積或重要性巨大的人,源原指羅德斯巨型雕塑像,世界七大奇跡之一,高多英尺,類,巨型雕像對小雕像大石頭對小卵石,巨像,巨人"
comatose,"不省人事的,昏迷的"
comeback,"恢復,復原,還嘴,退貨"
commands,NotFoundAnyMeanings
commence,"動詞,開始,著手,得學位"
commerce,"名詞,商業,貿易,交易"
commonly,"一般,普通,通常"
complain,"抱怨,埋怨,控拆,不滿"
complete,"完全的,熟練的,完成的,完成,完工,使圓滿"
composer,"作家,作曲家,設計者,著作者"
composit,NotFoundAnyMeanings
compound,"形容詞,合成的,複合的,動詞,使惡化,使混合,使合成,以複利計算,妥協,名詞,混合物"
compress,"動詞,壓,壓縮,概括,精簡,名詞,消炎等用的,溼敷布"
computer,"名,詞,電腦,電子計算機,計算者"
conceals,"隱蔽,隱藏,隱瞞"
concerns,"關注,擔心"
concerto,"記,音樂會,結尾的單詞一般是意大利語,表示音樂,協奏曲,協奏曲,由交響樂隊與一個或多個獨奏樂器演奏的樂曲,一般分為三個樂章,協奏曲"
conclave,"記共同,山洞共同聚在山洞裡開會中間的象征教皇的權杖,秘密會議,家庭會議,源原指在天主教選舉的秘密場所中,紅衣主教聚在一起選舉新教皇的會議,區,凹的,秘密會議,天主教教皇選舉會議,紅衣主教團"
concrete,"水泥,混凝土,具體的,實在的,水泥的,使,凝結,使,結合"
condense,"使濃縮,摘要,縮短,濃縮,凝結"
confined,"指空间有限的,受限制的,狭窄的,幽禁的,封闭"
conflict,"沖突,矛盾,爭執,爭執,撞鬥,沖突,抵觸"
confront,"勇敢地面對,正視,迎面遇到,使對質"
conserve,"蜜餞,果醬,保存,保全"
consider,"認為,考慮,體諒,照顧,考慮,思考"
conspire,"共謀,陰謀,指事件,湊合起來"
continue,"繼續,延續,延長,使繼續,使延長"
contract,"收縮,使縮短,感染,訂約,承包,締結,合約,婚約,契約,訂約,承包"
contrary,"相反的,矛盾的,對抗的反面,相反,相反的事物"
contrast,"使與,對比,使與,對照,與,形成對照對比,對照,差異"
converge,"匯聚,集中一點,共同,傾向"
converse,"相反的事物,倒,逆向,相反的,逆向的,顛倒的,交談,談話,認識"
conveyed,傳達
convince,"使某人確信,說服,征服,克服"
convulse,"記共同,脈搏,全身的脈搏共同跳動使狂躁不安,使強烈震動狂躁不安,使抽搐,參,易受影響的,脆弱的,震動,震撼,使抽筋"
coquette,"記共同,拼缺,她男生們注意我們共同缺的就是,女生們注意你們共同缺的是賣弄風情的男子,可惜這是法文,背了也沒用,賣弄風情的女子,作出性挑逗或多情表示的女人,類,懇求者是懇求的賣弄風情的女子是調情的,賣弄風情之女子"
courtesy,"禮貌,禮儀,好意,殷勤"
covenant,"契約,有約束力的協議,通過契約,保証源在聖經中原指上帝對人類的承諾"
covering,"覆蓋物,遮避物,掩護的,掩蓋的"
covet--0,"垂涎,覬覦"
covetous,"記蓋,頭,多蓋頭多,也就是娶了一萬個老婆,比如阿拉伯那幫混蛋,雖然令人羨慕,但是不能否認它們的貪婪本性,貪婪的,過度地或罪過地渴望別人財產的,有占有欲的,參,貪心,貪婪,貪婪,熱烈地渴望,類,不安的對狂亂的貪婪的對十分貪婪的,貪婪的,妄羨的"
cowardly,"形容詞,膽小的,懦怯的"
crack--0,"裂縫,縫隙,爆裂聲,破裂聲,使發出爆裂聲,使破裂,使爆裂,發出爆裂聲"
creating,創建
creative,"形容詞,有創造力,或想像力,的"
credible,"可信的,可靠的,他們沒有拿出任何可信的證據來給他定罪"
criminal,"罪犯,犯人,刑事,犯了罪的,罪的,有罪的"
cringing,"諂媚,的,奉承,的"
criteria,"標準,基準"
critical,"批評的,評論的,危急的,緊要的,臨界的"
critique,"評論文章,評論常指否定的評論,以馬克思主義觀點評論新自由政策的文章"
crockery,"記不住不過中間有個岩石,跟粘土差不多,最終做成陶器,杯,盤等,陶瓦器,原料是粘土,類,陶器陶器總稱,陶器,瓦器"
croon--0,"低聲歌唱,低聲哼,低吟,低唱,低吟,輕哼"
crowning,"最高的,無比的"
crude--0,"天然的,未加工的,粗糙的,拙劣的,粗魯的,天然的物質"
cruel--0,"殘忍的,殘酷的,刻毒傷人的"
crumbled,"粉碎,弄碎"
culinary,"形烹飪的,廚房的,烹飪用的"
cupidity,"貪財,源,從羅馬愛神邱比特,來來,人的,有兩方面一是情愛,二是權勢,用,愛情與麵包,來記,例"
curative,"醫藥,治療藥,治病的,有治病效力的"
currency,"流通的貨幣,流通,通用,風行"
cushions,墊子
cyclical,"週期的,輪轉的,循環的,記,圓"
cylinder,"柱面圓筒,圓筒狀之物,汽缸"
cynicism,"犬儒主義,憤世嫉俗,冷嘲熱諷,譏笑,譏諷的言詞"
cytology,"記細胞,學科,參考,由細胞生成的,讀,看頭的學科細胞學,細胞學,生細胞學"
damaging,"有破壞性的,損害的,誹謗的"
darkened,"變黑的,沒有燈光的"
daunt--0,"威嚇,使畏縮,使喪失勇氣,類無畏的不被恐嚇冷靜的不被打擾,大膽的不害怕自由的不附屬反,使大膽"
deadlock,"記死,鎖局勢鎖死了僵局,僵局,相持不下,死鎖,僵局"
debonair,"殷勤的,高興的,快活的,溫文爾雅的"
debut--0,"演員初次登場,初次露面,記去掉,去掉導演平靜你可以上台了女演員我還沒准備好呢有點兒煩哪那麼多事兒呀,快點兒我這可是第一次強忍誰沒有第一次呀,快,已經怒了哪那麼多呀,全都給我掉,再不上去我就人了"
decadent,"墮落的,腐敗的,放縱的人,道德上墮落的人"
deceased,"死去了的,已死的,亡故的"
deceived,受騙
decision,"決定,決心,決議,決策,決定或照決定行動的能力"
decorate,"裝飾,裝璜,授勛給,裝飾,佈置"
decrease,"動詞,減少,名詞,減少,減小,減少額,減小量"
decrepit,"記向下,破裂破裂掉破舊的,月,重複總是重複月,共次,你就是百歲老人了衰老的,向下,爬,和同水平,只能爬了衰老的,由于年老,疾病或使用而過度,衰老的,破舊的,參,衰老,發出響聲地燒礦石,反,強健的,衰老的"
decry--0,"責難,誹謗,詆毀,向外叫,哭半夜大吼大叫要譴責"
deducted,"扣除,減除"
defended,"記去掉,打擊去掉打擊保衛,被保護的,被防御的,參,被告,辯護的,防衛,防衛物,類,難以防守的難被防守無懈可擊的難被傷害不可避免的難被避免"
defiance,"名詞,反抗,蔑視,挑戰"
deftness,"靈巧,熟練,敏捷"
deify--0,"把,當作神來崇拜或敬畏,高度贊揚參,神化,奉若神明,神,神性,反,蔑視,神化,貶低"
delaying,NotFoundAnyMeanings
delegate,"代表,委員,委派,委託,授權"
delicacy,"外貌,建築,表演的,精巧雅致,美味佳肴,體質或健康,虛弱參,精巧細致的,脆弱的,靈敏的,類明暗的配合對比金銀絲工藝品精致掛毯複雜由機考判分數據確認準確答案不是"
delicate,"精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,靈敏的,精密的"
delirium,"記讀地理俺是北京人,地理不太好,容易發暈和迷失方向,比如我經常問北京的首都是哪裡神志不清,譫妄,暫時精神混亂和神志不清,症狀是焦慮,迷失方向,發生幻覺,顫抖和說胡話,發狂,無法抑製的極度興奮和激動的狀態,參,神志昏迷的,不省人事的,發狂的,類,昏迷是一種無知覺狀態譫妄是一,暫時的,精神狂亂,精神錯亂,說譫語狀態,狂語,精神極度興奮"
delusion,"欺骗,谬见,错觉,妄想"
demur--0,"提出異議,反對,抗辯,猶豫,異議,反對"
denoting,"表示,預示,符號等代表"
dense--0,"密集的,稠密的,濃密的"
depended,"相信,信賴"
depleted,"耗盡的,廢棄的"
depraved,"墮落的,頹廢的,邪惡的"
deranged,"精神錯亂的,精神失常的,瘋狂的"
derivate,NotFoundAnyMeanings
deriving,"取得,得到"
derogate,"貶低,減損,毀損"
describe,"描繪,描寫,描述,刻劃"
deserted,"地方无人居住的,被抛弃的,被遗弃的"
deserved,"應得的,獎賞,懲罰,補償等"
deserves,值得
designer,"名詞,設計者,構思者,時裝設計師"
desirous,"渴望的,期望的,區別上詞,例,每人都想獲得成功,渴望的"
despised,鄙視
detailed,"形容詞,詳細的,精細的"
deter--0,"動詞,嚇住,使斷念"
detonate,"使爆炸,使爆裂,爆炸,發爆炸聲"
detritus,"記下,摩摩下來的東西碎屑,碎屑,碎落或磨損下來的物質,尤指岩石,廢墟,參,深感懊悔的,摩擦心靈,反,有價值的產品,碎石"
develops,"使成長,使發達,發展"
devotion,"奉獻,獻身,忠誠,專心,祈禱"
diabetes,"名詞,糖尿病,糖尿病,的複數"
diabolic,"窮凶惡極的,殘忍的"
diagnose,"診斷,疾病,病症等"
diagonal,"記,角角之間的線對角線,對角的,對角線,類,直徑是圓形內最長直線對角線是矩形內最長直線,斜的,斜紋的,對角線的,對角線,斜紋織物"
diameter,"記穿過,測量穿過圓心可測量圓的面積的線直徑,直徑,長,類,直徑是圓形內最長直線對角線是矩形內最長直線,直徑"
diligent,"勤奋的,勤勉的,用功的"
diminish,"動詞,減少,減小,縮減"
diocesan,"記源于,大海,主教一般都住在臨海的地方,有利于交通和傳教,而下面的反義詞由出,苦,人出去作苦難的人指的是那些到世界各地的傳教士,引申為全球基督教會的,主教管區的,反,全球基督教會的,一般的,主教管區的,教區主教"
directly,"徑直地,直接地,馬上,立即,直截了當地,直率地,一,就"
disabuse,"打消,某人的,錯誤念頭,糾正"
disagree,"意見不同,不同意,不一致,不符,不適宜,有害"
disaster,"名詞,災害,災難,不幸"
disburse,"記消除,錢包,消除錢包裡的錢支付,支付,參,支出,支付,支付"
disciple,"信徒,追隨者,門徒"
disclaim,"放棄,否認,拒絕承認"
disclose,"使露出,揭發,透露"
discount,"折扣,打折扣,貼現,不重視,低估"
discover,"發現,找到,暴露,有所發現"
disgrace,"動詞,使丟臉,名詞,恥辱,丟臉的事,或人"
disguise,"動詞,掩飾,隱瞞,名詞,假扮,偽裝"
dishonor,"不名譽,玷辱,使蒙羞"
disinter,"記,埋葬,挖出,使顯露,引起大眾的注意,反,埋葬,掘出"
dislodge,"記,旅館,小屋,從先前的位置或住處強行,驅逐,反,固定,驅逐"
disloyal,"不實的,不義的,不忠的"
disorder,"動詞,使混亂,擾亂,名詞,混亂,無秩序,不適,小病"
disposal,"清除,處理,處置排列,佈置"
disposed,"喜歡,贊成,她似乎贊成這個主意"
disquiet,"記,使平靜,使安心,使,不安,憂慮,的,使,煩惱,的,反,使放松,憂慮,不安,使不安,使憂慮"
dissolve,"溶解融化,解散,驅散,使消失,廢除,撤銷"
dissuade,"勸阻某人不要做某事,說服,阻止"
distance,"距離,間隔,遠處,遠方"
distract,"分散,岔開,弄昏,使煩惱,消遣,娛樂"
distrait,"記是的變體,因為焦慮,心不在焉的,參,顯著的特點,特性,心不在焉的"
district,"名詞,地區,區域,地帶"
distrust,"動詞,不信任,懷疑,名詞,不信任,懷疑"
disunity,不團結
dividing,起劃分作用的
division,"部分,部門,科,處,分,分開,除"
doctrine,"宗教的,教義,主義,政策"
document,"文檔,公文,文件,文獻,証件,証券,紀錄影片,記實小說,用文件証明"
doggerel,"記做的詩,打油詩,幽默,滑稽,粗劣,無章法的詩,參,卑劣行為,下等社會,賤民,類,書法不是亂涂亂寫十四行詩不是打油詩,打油詩是滑稽詩滑稽劇是滑稽劇,打油詩是粗略詩草圖是粗略圖,打油詩"
dogmatic,"教条的,固执己见的,武断的"
domicile,"家,合法的住所類游牧民缺乏住所自由作家缺乏老板"
dominant,"佔優勢的,統治的,支配的,高聳的,突出的"
dominate,"動詞,支配,統治,控制"
domineer,"跋扈,作威作福,記,控制,用,主宰,記跋扈"
dormancy,"記睡覺,參,宿舍,讀都悶死在地下冬眠的結果就是,睡眠,冬眠,隱匿,反,活躍,活動性,睡眠,冬眠,隱匿"
doubtful,"懷疑的,可疑的,不明確的"
doubting,懷疑的
douse--0,"記讀倒死把李宏志先用火燒,在倒進水缸中反複此過程萬次,將他致死而得,圓滿,熄滅,浸入,劑量,象小水杯把牛黃解毒丸浸入小水杯,讓你喝下去去火,熄滅,燈,火等,把,浸入水中,反,點燃,插入水中,把弄熄,弄濕,放松,浸泡,潑洒"
dovetail,"楔形榫頭,與,吻合,用鳩尾榫接合,吻合"
downpour,"暴雨,傾盆大雨,類,暴雨造成水災風造成侵蝕,傾盆大雨"
downward,"形容詞,向下的,下降的,日趨沒落的,副詞,向下,日趨沒落地,時間,往後推移地"
drafting,"穿綜,牽伸,牽曳,意匠,制圖"
drainage,"排水,排泄,排水裝置,排水區域,排出物,消耗"
draining,令人精疲力盡的
