regard,"關心,注意,尊敬,尊重,致意,問候,關系,看待,當作,重視,尊敬,關系"
region,"區,層區,區域,區域,地方,地區,領域,範圍,在網絡中,對各站所在位置及其權責規定的名稱"
regret,"遺憾,後悔,悔恨,抱歉,歉意,為,感到遺憾,後悔,惋惜,懊悔,抱歉"
reigns,NotFoundAnyMeanings
reject,"被拒之人,被棄之物,不合格品,次品,不及格者,落選者,拒絕,抵制,否決"
relate,"講,敘述,與,有關,有關,符合,相處得好"
relent,"變寬厚,變溫和,動憐憫之心"
relief,"減輕,解除,救濟,安慰,調劑,浮雕,換班,地勢的起伏"
remind,"使想起,使記起,提醒"
renege,"違例出牌,食言,毀約,否認,放棄,拒絕出牌違例"
renown,"名望,声誉,使有名望"
repast,"餐,飲食,宴,就餐,就餐時間"
repeal,"撤销,废除,否定,放弃,废除,作废,撤销"
repeat,"重復,反復,重做,重復,復述,復誦,使再現,復制,重復,重復"
repine,"記,反複,松樹,憔悴,因苦惱,不滿而憔悴,抱怨,因為不滿意的或煩惱,抱怨,反,表達高興,抱怨"
repose,"休息,睡眠,靜止,使休息,寄托于,休息,長眠,靜臥,建立于,座落,依靠"
repute,"聲譽,名聲,名氣,名望,看作,稱為,評價"
resent,"憤恨,憎惡,怨恨"
reside,"居住,留駐,存在,屬於"
resist,"抵抗,耐得住,抵制,反抗防染劑"
resort,"求助,訴諸,采取,某種手段等,常去,憑借,手段,常去之地,勝地"
result,"結果,後果,成果,效果,成績,歸結為,導致,起因於"
resume,"恢復,再繼續,重新開始,重新佔用,再用,取回,收回,再開始,繼續講"
retail,"零售,零售的,零售,轉述,零售"
retain,"保持,保留,留住,擋住,記住"
retard,"妨礙,減速參,緩慢的,智力遲鈍的,類轉軌用來轉向剎車用來減速反,加速,加速,加速,催化,促進,促成"
retort,"反駁,頂嘴,蒸餾器,曲頸瓶,反駁,回嘴,反擊,反擊,反駁,提純"
return,"返回,回來,送還,回復,恢復,歸還,送還返回,歸來,償還,歸還,回復"
revamp,"換新鞋面,修理,修補,修改"
revert,"還原,恢復,復歸,回復,使顛倒,使回轉恢復原信仰的人"
revise,"校訂,修正,再校稿,校訂,修正,校正"
revive,"使蘇醒,使復興,使振奮,回想起,蘇醒,復活,復興,恢復精神"
reward,"動詞,酬謝,獎勵,名詞,報答,報償,獎賞"
rhythm,"旋律,節奏,韻律,勻稱,律動"
ribald,"記,肋骨,禿的,肋骨露出來,下流的,下流的,粗鄙的,參,粗俗下流的笑話,類,下流的不是適宜的迷宮的不是直接的,反,適宜的,適當的,下流的"
riddle,"謎,謎語,粗篩,解謎,給,出謎,篩,檢查,鑒定,非難,充滿於,出謎"
rights,版權
ripple,"漣波,漣漪,波紋,麻梳,梳,使起漣漪,起微波,起潺潺聲"
rising,"上升,造反,叛亂,上升的,高漲的,晉升的"
ritual,"形容詞,宗教,儀式的,典禮的,名詞,儀式,典禮,老規矩"
robber,"名詞,搶劫者,強盜"
rococo,"洛可可式風格,裝飾複雜華麗的,類似"
roduce,NotFoundAnyMeanings
rookie,"名,菜鳥,新人,招募小物,名詞招募來的新人"
roster,"人員名單,組織,球隊"
rotate,"旋轉,循環,輪狀的,使旋轉,使轉動,使輪流,輪作"
rotten,"差勁的,腐爛的,惡臭的,墮落的,風化的,虛弱的,無用的"
row--0,"行,街道,划船,吵鬧,使成排,劃,划船,參加,賽船,痛罵,划船,劃動,排"
rubric,"紅字,紅色印刷,題目"
rudder,"舵,方向舵,指導原則"
ruffle,"皺褶,波紋,生氣,輕擂,弄皺,觸怒,洗牌,連續輕擂,起皺,發脾氣"
ruling,"形容詞,統治的,管理的,名詞,統治,管理,裁決"
rumple,"使皺,弄破,打亂,使不整齊"
rustic,"鄉下人,村夫,農民,鄉村的,純樸的,手工粗糙的"
rustle,"動詞,樹葉,紙等,沙沙作響,使沙沙作響,名詞,沙沙聲,窸窣聲"
sacred,"神的,宗教的,神聖的,不可侵犯的"
sadden,"使憂愁,使悲哀,憂愁,悲哀"
saddle,"動詞,給,馬背,裝鞍,使負擔,名詞,馬鞍,自行車,摩托車的,車座"
saliva,"唾液,唾沫,涎"
salmon,"名詞,鮭魚,鮭肉,鮭肉色"
salute,"行禮,致意,問候,放禮炮,向,致意,迎接,贊揚招呼,敬禮,禮炮"
sample,"範例,字樣樣品,標本,抽取樣品,嘗試"
sandal,"涼鞋,草鞋,檀香木,穿以便鞋"
satire,"嘲諷,用幽默來針砭社會,滿足,嘲諷的時候都會講得很滿,尖銳的,邪惡,愚蠢,例,解,此字的,嘲諷,通常是一種藝術呈現方式,如文學,電影等,因此也可以指,嘲諷文體"
savant,"博學之士,專家反,無知者"
savory,"名詞英,餐前的,開胃菜,餐後的,助消化菜,形容詞美味可口的,芳香開胃的,烤雞的香味鹹的,香辣的令人愉快的,饒有趣味的,常用在否定句中,品性優良的,可敬的,體面的,這個地方名聲不佳變化形形變,名複,反義字,可口的,味香的的反義字"
saying,"名詞,發表言論,話,言論,格言"
scheme,"方案,計劃,組合,系統,圖解,摘要,詭計,陰謀,計劃,設計,圖謀,策劃"
school,"學校,學院,學派,流派,上學,學業,功課,把,送進學校培養,教育"
scorch,"燒焦,枯黃,燒焦,拷焦,使,枯萎,諷刺"
scotch,"蘇格蘭人,蘇格蘭語,刻痕,蘇格蘭人的,蘇格蘭語的,刻痕,使受傷,鎮壓"
scrawl,"亂涂,潦草地寫,亂寫,潦草的筆跡"
scream,"尖叫聲,尖叫,大笑,尖嘯,令人震驚,尖叫著說,大叫大嚷著要求"
screen,"螢幕,銀幕,屏風,掩蔽物,遮罩,篩子,掩蔽,放映,拍攝,掩護,篩"
scrimp,"過度縮減,節省,不足的,吝嗇的"
script,"動詞,把,改編為劇本,名詞,筆跡,戲劇,廣播等的,腳本"
scroll,"動詞,使成卷形,用渦卷飾裝飾,名詞,卷軸,渦卷形裝飾"
sculpt,"雕刻,雕刻品,雕塑,雕塑品,地理,刻蝕,雕刻,雕塑,刻蝕"
scurry,"記見到,的人就,急跑,疾行,根,跑,急趕,急跑,急轉,以輕快而交替的步子走動,急趕,急跑,急轉"
scurvy,"記見到,的人就,卑鄙下流的,反,無可指責的,下流的,卑鄙的,無禮的,醫壞血病"
scythe,"記,切,用來切小麥的東西,鐮刀,長柄鐮刀,用于割草或收割,類,收割者的工具是鐮刀伐木工的工具是斧頭,長柄鐮刀,鐮,古兵器,用鐮割"
sealed,"密封的,封閉的"
search,"搜索,搜尋,搜查,搜查,在,中搜尋,搜尋,找尋,探究,調查"
secede,"分開,走,退出,脫離國家或政府,如果該地區想脫離南方而獨立,很可能會爆發內戰"
secret,"秘密,機密,神秘,秘訣,秘方,秘密的,極機密的,隱蔽的,暗中的,神秘的"
secure,"無慮的,安心的,可憐的,安全的,可靠的,保險的,固定,獲得,保証,使安全"
sedate,"沈著的,鎮靜的,安靜的,給,服鎮靜劑"
seeing,"口因为,鉴于,由"
seethe,"煮沸,沸騰,使煮沸,使浸透沸騰"
select,"選擇,選舉,選拔,挑選,當選的,挑選的,挑剔的,特別的"
senior,"年長的,資格較老的,地位較高的年長者,前輩,大學高年級學生"
senses,"感官,官能"
septic,"記,細菌,導致腐爛的,感染的,受感染的,腐敗的,參,防腐的,殺菌劑,反,未受感染的,腐敗的,敗血病的,膿毒性的,腐爛物"
sequel,"繼續,隨之而來的事,結局,續集,續篇,餘波"
serene,"寧靜的,沈著的,安詳的,晴朗的晴朗,平靜"
serial,"序列,連載小說,連續的,一連串的,連載的,分期償還的"
series,"系列,叢書,套,級數,組系列,串聯,序列,連續"
sermon,"佈道,說教,訓誡"
settle,"有背的長凳,安放,使定居,安排,解決,決定,整理,支付,使平靜,安家,定居,停留,下陷,沉澱,決定,澄清"
severe,"嚴格的,兇猛的,嚴肅的,嚴重的,嚴厲的,樸素的"
shabby,"衣衫襤褸的,不體面的,破舊的,吝嗇的,卑鄙的"
shaded,"遮陽的,蔭蔽的"
shadow,"陰影,蔭,影子,影像,陰暗,預兆,少許,隱蔽處,庇護,遮蔽,使朦朧,預示"
shaped,"常用於複合詞中,成某種形狀的,形狀"
shared,"共用,分享"
sheath,"刀,劍,鞘,套"
shelve,"置于架子上,緩議,擱置,解雇,傾斜"
shield,"盾,防衛物,保護,遮蔽,庇護,擋開,避開,起保護作用"
shifty,"詭詐的,看起來鬼祟的,機智的"
shirks,NotFoundAnyMeanings
shoddy,"長彈毛的,以次充好的長彈毛的,贗品"
shoots,NotFoundAnyMeanings
shrewd,"精明的,有敏銳的感知,機敏的智力的,區,潑婦,反,愚蠢的,天真的,羞辱性的"
shriek,"尖聲叫喊,聳人聽聞地報道,尖聲喊叫,尖叫,尖聲,尖聲喊叫"
shrine,"聖地,神龕,廟,將,置於神龕內"
shrink,"收縮,萎縮,畏縮,收縮,退縮,萎縮,縮小,畏縮,使收縮,使縮小"
shroud,"隱蔽物,可起隱蔽,保護或屏護作用的物體,將,從視線中隔離,遮蔽"
